Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g967,ENSG00000196975.10,127.4,2.861,0
g2940,ENSG00000006576.12,127.4,6.615,0
g6205,ENSG00000265303.1,127.4,2178966584.563,0
g6999,ENSG00000149600.7,127.4,6.7,0
g4228,ENSG00000256034.1,127.35,2344038959.236,0
g6623,ENSG00000179262.5,127.35,4.474,0
g7124,ENSG00000226332.2,127.35,25.17,0
g7534,ENSG00000010671.11,127.35,26.988,0
g183,ENSG00000160058.14,127.3,5.285,0
g6283,ENSG00000189159.11,127.3,8.486,0
g6584,ENSG00000214212.4,127.2,2.629,0
g6992,ENSG00000101294.12,127.2,4.871,0
g133,ENSG00000117676.9,127.15,9.011,0
g1812,ENSG00000163956.6,127.05,8.405,0
g2500,ENSG00000168298.4,127.05,5.604,0
g3579,ENSG00000119383.15,127.05,1314918743.501,0
g4609,ENSG00000251301.2,127,5.093,0
g5557,ENSG00000167970.6,127,4.566,0
g6900,ENSG00000170866.7,127,20.226,0
g5457,ENSG00000103653.12,126.9,13.878,0
g6229,ENSG00000136490.4,126.9,4.287,0
g5551,ENSG00000162032.11,126.75,16.981,0
g6494,ENSG00000115286.15,126.75,3.778,0
g7128,ENSG00000125534.5,126.7,10.722,0
g2987,ENSG00000272752.1,126.6,2.29,0
g4038,ENSG00000149182.10,126.6,3.384,0
g125,ENSG00000182749.5,126.55,6.698,0
g141,ENSG00000000938.8,126.5,3.622,0
g728,ENSG00000143761.9,126.45,2.19,0
g6353,ENSG00000178927.12,126.45,10.266,0
g7477,ENSG00000102226.5,126.4,9.995,0
g4141,ENSG00000273003.1,126.2,8.294,0
g11,ENSG00000127054.14,126.15,9.915,0
g4192,ENSG00000110711.5,126.15,16.53,0
g2898,ENSG00000136270.9,126.05,20.578,0
g13,ENSG00000221978.7,126,7.368,0
g146,ENSG00000130775.11,126,1.967,0
g2654,ENSG00000271793.1,126,4.342,0
g667,ENSG00000159388.5,125.9,1.831,0
g7161,ENSG00000273271.1,125.85,4963181961.772,0
g1466,ENSG00000164054.11,125.75,6.752,0
g3802,ENSG00000052749.9,125.75,4.681,0
g3588,ENSG00000136878.8,125.7,6.392,0
g5904,ENSG00000091640.3,125.55,3.686,0
g6265,ENSG00000141540.6,125.4,19.649,0
g2983,ENSG00000106290.10,125.3,3368194324.727,0
g5674,ENSG00000261332.1,125.15,20.894,0
g7335,ENSG00000100242.11,125.1,15.131,0
g2403,ENSG00000198055.6,125.05,5.599,0
g2745,ENSG00000001036.9,125.05,5.223,0
g3607,ENSG00000186350.8,125.05,5.131,0
g4733,ENSG00000089127.8,125,4.809,0
g3066,ENSG00000105887.10,124.95,3.207,0
g4165,ENSG00000175550.3,124.95,6.122,0
g4495,ENSG00000167552.9,124.95,2.401,0
g5287,ENSG00000134153.5,124.8,8.368,0
g1622,ENSG00000173706.8,124.7,6.123,0
g4041,ENSG00000134575.5,124.7,12.759,0
g6605,ENSG00000173875.9,124.7,3.349,0
g6163,ENSG00000108798.4,124.5,38.319,0
g6080,ENSG00000002834.13,124.45,4.14,0
g4510,ENSG00000110934.6,124.4,5.407,0
g5418,ENSG00000241839.5,124.35,7.487,0
g6837,ENSG00000235191.1,124.35,5045653600.556,0
g6695,ENSG00000105669.8,124.3,8.721,0
g3926,ENSG00000250644.1,124.25,6.867,0
g4587,ENSG00000135506.11,124.25,3.247,0
g6661,ENSG00000269044.1,124.25,7.702,0
g6884,ENSG00000268015.1,124.15,8.647,0
g2982,ENSG00000221838.5,123.9,12.257,0
g4951,ENSG00000185989.9,123.85,9.496,0
g6501,ENSG00000104886.5,123.75,1963164477.559,0
g6503,ENSG00000104904.8,123.65,1.646,0
g5246,ENSG00000196405.8,123.5,11.907,0
g102,ENSG00000173369.11,123.45,7699015262.922,0
g1822,ENSG00000071127.12,123.4,2.927,0
g4446,ENSG00000118308.10,123.4,4.185,0
g6495,ENSG00000248015.2,123.4,3.944,0
g6653,ENSG00000072958.4,123.35,2396863242.919,0
g7208,ENSG00000183255.7,123.35,3.479,0
g1509,ENSG00000173366.11,123.3,17.905,0
g5715,ENSG00000234337.3,123.3,4.392,0
g7364,ENSG00000100412.11,123.2,5.389,0
g5865,ENSG00000132376.15,123.05,13.633,0
g5196,ENSG00000100591.3,122.95,13.422,0
g6836,ENSG00000104805.11,122.9,13.018,0
g4035,ENSG00000175220.7,122.85,4.895,0
g7490,ENSG00000102096.9,122.75,673974493.302,0
g2912,ENSG00000129103.13,122.65,3.549,0
g5832,ENSG00000260228.1,122.65,2144525716.398,0
g4030,ENSG00000121671.7,122.6,5,0
g6227,ENSG00000136485.10,122.5,6.637,0
