Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000138061.7,1865.40739184386,-6.03769250430181,0.681079929647999,-8.86488096547237,7.65858478006519e-19,8.18532522216078e-17
ENSG00000202077.1,52.9914830304655,-4.3912327808798,0.495527003954397,-8.86174264134337,7.87732791041141e-19,8.32659529343378e-17
ENSG00000126368.5,192.775290227627,6.37533192625178,0.724530485380055,8.79925973426443,1.37721595787337e-18,1.4399391629113e-16
ENSG00000162444.11,199.363934142491,-4.67214763884204,0.53161852403532,-8.78853431098957,1.51523762364414e-18,1.5672119034229e-16
ENSG00000095370.15,817.233680687224,4.08018301090246,0.468472302492322,8.70955014671189,3.05083116561034e-18,3.12190904063892e-16
ENSG00000205021.9,157.646291934864,-4.86253847685437,0.559931508227293,-8.68416655502893,3.81529411940304e-18,3.86308569837241e-16
ENSG00000166920.6,3512.39349826869,-5.50674372550818,0.634340491761598,-8.68105346738256,3.92119749229039e-18,3.92895819566055e-16
ENSG00000059804.11,4686.61246739887,-2.97656237636689,0.343650473862224,-8.6615983470468,4.6519493131265e-18,4.61310313844988e-16
ENSG00000188404.4,3593.95423746708,-3.85293733234884,0.446292097096809,-8.63321882106522,5.96491692084059e-18,5.85474855730261e-16
ENSG00000111679.12,1572.14537913715,2.56268865591739,0.297757034036418,8.60664354818888,7.52309228635521e-18,7.3095580507526e-16
ENSG00000222414.1,88.8800800206657,-4.67428627206668,0.54352281215468,-8.59998176256204,7.97287678389511e-18,7.66911017842871e-16
ENSG00000182578.9,3889.03929847227,3.73829071393544,0.436346545084969,8.567251777386,1.05983995209065e-17,1.00936638605544e-15
ENSG00000075624.9,64483.6057342324,1.60661925883408,0.188615648210703,8.51795317130487,1.62397838338755e-17,1.53147530096126e-15
ENSG00000132002.3,672.733415190898,3.45039788450605,0.405461470834307,8.50980458736625,1.7422673348797e-17,1.62707470817552e-15
ENSG00000204257.10,308.306455774264,-2.14676864781776,0.253133551737879,-8.480774804759,2.23699215675049e-17,2.06900264959451e-15
ENSG00000210082.2,40627.011125681,-1.97600124032725,0.23317846518662,-8.47420124643929,2.36697942331985e-17,2.16837857837273e-15
ENSG00000141524.11,353.176864727401,4.69733052876751,0.555606059333555,8.45442638692947,2.80462666752007e-17,2.54506640706373e-15
ENSG00000142347.12,1337.3807193934,2.64551815603657,0.313312534033018,8.44370355051858,3.07438289785547e-17,2.76378402752073e-15
ENSG00000213889.6,148.144640822778,3.36858785478272,0.400229243268014,8.41664598837657,3.87416141684859e-17,3.45051469154321e-15
ENSG00000177575.8,568.414737970471,-6.54665319506307,0.778545045760101,-8.40883033128996,4.14119653469825e-17,3.65451096029931e-15
ENSG00000145741.11,1341.58032866992,-1.99671629325213,0.237648777266608,-8.40196325105473,4.39075257083464e-17,3.83951354353258e-15
ENSG00000211519.1,635.748368811086,-5.61019281007824,0.66932086889637,-8.38191825593124,5.20719950821915e-17,4.51243712338378e-15
ENSG00000105371.8,110.396380371397,5.06061394737989,0.604150024667065,8.37641933420211,5.45622607933689e-17,4.68602130867335e-15
ENSG00000197208.5,137.275197503698,-4.13288851824624,0.493655258486914,-8.37201356046286,5.66419246883011e-17,4.82158118209529e-15
ENSG00000108179.9,801.219922207157,-4.59381460851227,0.549051363967696,-8.36682123019469,5.91933991810276e-17,4.99457286598513e-15
ENSG00000272084.1,135.152052119447,-3.36012546437569,0.402417807188791,-8.3498428855543,6.83538306811607e-17,5.71735215062682e-15
ENSG00000160326.9,67.5899573995635,5.56394403340559,0.666849513757525,8.34362763804716,7.20456018981641e-17,5.97419521257276e-15
ENSG00000234961.1,1177.31231013107,-2.42499049667779,0.291044176823311,-8.3320357862716,7.94639189896687e-17,6.53302082702242e-15
ENSG00000198734.6,170.584352279797,-6.9575959492658,0.835940346505342,-8.32307709318267,8.57086609342172e-17,6.98670855530708e-15
ENSG00000196946.5,72.738917418294,-2.79938539126854,0.336533522963045,-8.31829580191908,8.92370775015152e-17,7.21320544947122e-15
ENSG00000267379.1,281.802581670149,2.74833522421306,0.33061090150858,8.3128995797549,9.33915454025562e-17,7.48611062689323e-15
ENSG00000026025.9,6195.16676158691,-2.51394165790872,0.302506928977582,-8.31036058051755,9.54117040314944e-17,7.58483620726401e-15
ENSG00000259932.1,128.207346676989,-6.0810394803231,0.732413986197849,-8.30273533127262,1.01741356382957e-16,8.02172218891526e-15
ENSG00000108219.10,1619.58867384127,3.11209753776884,0.37494664212404,8.30010777037254,1.04016994941521e-16,8.13446727107719e-15
ENSG00000184009.5,409.141622372507,2.08225072203438,0.251126146273291,8.29165243418481,1.11685881777009e-16,8.66376207107295e-15
ENSG00000130844.12,2596.15673050252,-3.8580937294492,0.465913720343339,-8.28070426130855,1.22448939720728e-16,9.42269080938948e-15
ENSG00000162747.5,106.126670038853,6.02082258145848,0.728523013095346,8.26442332394858,1.40371652844077e-16,1.07161502278347e-14
ENSG00000125810.9,1031.36419778904,-5.41904050504624,0.657495201075939,-8.24194685554877,1.69430826045086e-16,1.28327174466746e-14
ENSG00000135218.13,1342.37971753989,-4.4371710089321,0.539300651095007,-8.22763888736788,1.90939679740109e-16,1.43488185892196e-14
ENSG00000055163.14,1030.15327938884,4.22727735791513,0.515320657289643,8.20319794698067,2.34075303083748e-16,1.74540336462215e-14
ENSG00000103653.12,191.883781791239,3.62077529688636,0.442478400855773,8.1829424665331,2.76995430931695e-16,2.04955311548614e-14
ENSG00000248993.1,168.772876140989,-2.1227561115793,0.259470584860586,-8.18110504787994,2.81252579635671e-16,2.06516684237826e-14
ENSG00000256492.1,91.8836702078125,-5.76847099847347,0.705899545725468,-8.17180154514066,3.03818013138324e-16,2.2139586881648e-14
ENSG00000162989.3,157.884840130191,-6.39379664605413,0.784223556291309,-8.15302804252807,3.54923269784514e-16,2.5669225053062e-14
ENSG00000138821.8,260.68512265632,-6.10584819929158,0.749633559297804,-8.1451105324194,3.78935601675522e-16,2.72013548695287e-14
ENSG00000105671.7,95.6287897803313,4.8540930530929,0.597229880154377,8.12767949895303,4.3758636348802e-16,3.1178838743639e-14
ENSG00000114626.13,399.115729013426,4.58152893514835,0.564241201001748,8.11980572672529,4.6693051253747e-16,3.30250338242495e-14
ENSG00000167460.10,371.069937521221,-3.49080658350566,0.43060529463669,-8.10674329132652,5.19945508880856e-16,3.65062470797442e-14
ENSG00000151247.8,513.782254326776,-2.62096692979097,0.323368061296224,-8.10521273896006,5.26533050694353e-16,3.6700879816152e-14
